 Date : 01/30/16    Vehical : 28 -  8897  Wan    By User : KESHLA
No|Item|Weight|Price|Units|BSC|BSP|LDC|LDP|ULC|ULP|RDC|RDP|BilP|Excs|Shrt
1|Goold Marie - 02/24/2013|  0.080|   26.25| 60|3|42|2|0|4|20|1|22|82|0|0
2|Chocolate Cream - 08/14/2013|  0.100|   43.25| 50|2|21|5|0|2|46|4|25|225|0|0
3|Cream Cracker - 02/24/2013|  0.130|   45.00| 48|1|38|4|0|2|39|2|47|143|0|0
4|Cream Cracker - 02/24/2013|  0.190|   67.50| 40|1|31|3|0|2|18|2|13|92|0|1
5|Cream Cracker - 06/29/2013|  0.330|  126.00|  8|0|6|0|0|0|6|0|0|0|0|0
6|Cream Cracker - 02/24/2013|  0.500|  154.88|  8|1|3|26|0|8|6|18|5|148|0|1
7|Lemon puff - 06/29/2013|  0.100|   49.50| 30|0|0|2|0|1|24|0|6|6|0|0
8|Lemon Puff - 05/13/2013|  0.200|   90.00| 30|1|1|2|0|1|26|1|5|35|0|0
9|Chocolate Puff - 12/26/2013|  0.100|   45.00| 30|1|14|0|0|1|8|0|6|6|0|0
10|Chocolate Puff - 12/26/2013|  0.200|   81.00| 30|1|10|0|0|1|7|0|3|3|0|0
11|Sorties - 02/24/2013|  0.070|   22.50| 60|0|49|0|0|0|49|0|0|0|0|0
12|Nice - 07/03/2013|  0.100|   39.60| 60|0|20|1|0|1|1|0|19|19|0|0
13|Hawaiian Cookies - 06/29/2013|  0.100|   45.00| 30|0|18|0|0|0|6|0|12|12|0|0
14|Hawaiian Cookies - 06/29/2013|  0.200|   85.50| 24|0|7|1|0|1|6|0|1|0|0|1
15|Bran Cracker - 06/29/2013|  0.140|   72.00| 40|0|6|0|0|0|0|0|6|6|0|0
16|Bran Cracker - 06/29/2013|  0.210|   90.00| 24|0|2|1|0|0|11|0|15|15|0|0
17|Cheesebits - 04/19/2013|  0.030|   22.50| 60|0|10|0|0|0|10|0|0|0|0|0
18|Krisco - 05/13/2013|  0.220|  234.00| 10|0|5|1|0|1|5|0|0|0|0|0
19|Chocolate Cream - 04/02/2015|  0.400|  164.35|  4|3|1|0|0|0|0|4|1|21|4|0
20|Custard Cream - 02/24/2013|  0.100|   38.93| 50|0|17|1|0|0|43|0|24|24|0|0
21|Orange Cream - 03/31/2013|  0.100|   38.93| 50|0|34|0|0|0|34|0|0|0|0|0
22|Chickbit - 05/13/2013|  0.030|   22.50| 60|0|30|2|0|2|20|0|10|10|0|0
23|Inguru Biscuit - 04/02/2015|  0.080|   39.60| 50|0|40|1|0|1|28|0|12|12|0|0
24|Gingernut - 12/26/2013|  0.370|  149.60|  6|2|0|0|0|2|0|0|0|0|0|0
